time,open,high,low,close,KAMA,Volume,Volume MA
2020-12-23T02:00:00+02:00,636.41,638.44,551.28,585.56,574.2146724042493,1208807.36518,858221.5841790016
2020-12-24T02:00:00+02:00,585.48,615.02,565.43,612.31,574.3969528502839,886335.86333,849915.7380125016
2020-12-25T02:00:00+02:00,612.31,634.24,604.28,626.82,575.5686719950558,798009.62915,854737.8216880016
2020-12-26T02:00:00+02:00,626.78,652.91,615.26,637.44,576.5386421286648,958585.50647,872542.2488420015
2020-12-27T02:00:00+02:00,637.44,717.13,625,685.11,579.9520292454665,1859968.15029,940624.1875620015
2020-12-28T02:00:00+02:00,685.1,748.09,681.04,730.41,588.5189418058037,1627154.39266,981759.7568365015
2020-12-29T02:00:00+02:00,730.4,740.78,689.2,732,601.7228595642524,1106876.35855,987243.9663950015
2020-12-30T02:00:00+02:00,732,758.74,716.62,752.17,615.7175225091336,1008574.09906,1007251.9456150014
2020-12-31T02:00:00+02:00,752.17,755.74,722,736.42,626.7189401092322,863375.57981,1011974.6354470014
2021-01-01T02:00:00+02:00,736.42,749,714.29,728.91,636.876091831287,675114.09329,1017034.6424560016
2021-01-02T02:00:00+02:00,728.91,787.69,714.91,774.56,652.0437665718792,1352618.57668,1051775.8482110016
2021-01-03T02:00:00+02:00,774.44,1011.07,768.71,978.28,711.1380648860508,2813603.88615,1167805.4411655017
2021-01-04T02:00:00+02:00,978.33,1162.97,890,1041.43,778.9724489118973,4245010.94004,1351592.4621620015
2021-01-05T02:00:00+02:00,1041.45,1134.6,974.45,1099.56,849.4298149403317,2706995.67525,1427662.8433855018
2021-01-06T02:00:00+02:00,1100.16,1213,1057.26,1208.42,933.282592578532,2390136.59334,1446863.1720650014
2021-01-07T02:00:00+02:00,1208.75,1289,1131,1224.87,1002.0701245071391,1972922.82059,1495508.6640855013
2021-01-08T02:00:00+02:00,1224.86,1273.75,1065,1216.93,1050.2360941444458,2131172.92341001,1559127.1160265019
